Time,BaroRetard(s),AirSpeedRetard(s),BaroAltitude(m),AirSpeed(m/s),BaroStandardDeviation(m),AirSpeedStandardDeviation(m/s),StatusAirData,Secondes,TSmilli,Compteur100hz
1379672.0,0.00800000037997961,0.00800000037997961,157.33956909179688,0.25,1.0,0.25,67.0,39962.0,0.0,681062.0
1379674.0,0.00800000037997961,0.00800000037997961,157.33956909179688,0.25,1.0,0.25,67.0,39962.0,0.0,681063.0
1379676.0,0.00800000037997961,0.00800000037997961,157.33956909179688,0.25,1.0,0.25,67.0,39962.0,0.0,681064.0
1379678.0,0.00800000037997961,0.00800000037997961,156.62350463867188,0.25,1.0,0.25,67.0,39962.0,0.0,681065.0
1379680.0,0.00800000037997961,0.00800000037997961,156.62350463867188,0.25,1.0,0.25,67.0,39962.0,0.0,681066.0
1379682.0,0.00800000037997961,0.00800000037997961,156.62350463867188,0.25,1.0,0.25,67.0,39962.0,0.0,681067.0
1379684.0,0.00800000037997961,0.00800000037997961,156.62350463867188,0.25,1.0,0.25,67.0,39962.0,0.0,681068.0
1379686.0,0.00800000037997961,0.00800000037997961,156.62350463867188,0.25,1.0,0.25,67.0,39962.0,0.0,681069.0
1379688.0,0.00800000037997961,0.00800000037997961,157.37127685546875,0.25,1.0,0.25,67.0,39962.0,0.0,681070.0
1379690.0,0.00800000037997961,0.00800000037997961,157.37127685546875,0.25,1.0,0.25,67.0,39962.0,0.0,681071.0
1379692.0,0.00800000037997961,0.00800000037997961,157.37127685546875,0.25,1.0,0.25,67.0,39962.0,0.0,681072.0
1379694.0,0.00800000037997961,0.00800000037997961,157.37127685546875,0.25,1.0,0.25,67.0,39962.0,0.0,681073.0
1379696.0,0.00800000037997961,0.00800000037997961,157.37127685546875,0.25,1.0,0.25,67.0,39962.0,0.0,681074.0
1379698.0,0.00800000037997961,0.00800000037997961,157.78347778320312,0.25,1.0,0.25,67.0,39962.0,0.0,681075.0
1379700.0,0.00800000037997961,0.00800000037997961,157.78347778320312,0.25,1.0,0.25,67.0,39962.0,0.0,681076.0
1379702.0,0.00800000037997961,0.00800000037997961,157.78347778320312,0.25,1.0,0.25,67.0,39962.0,0.0,681077.0
1379704.0,0.00800000037997961,0.00800000037997961,157.78347778320312,0.25,1.0,0.25,67.0,39962.0,0.0,681078.0
1379706.0,0.00800000037997961,0.00800000037997961,157.78347778320312,0.25,1.0,0.25,67.0,39962.0,0.0,681079.0
1379708.0,0.00800000037997961,0.00800000037997961,158.67922973632812,0.25,1.0,0.25,67.0,39962.0,0.0,681080.0
1379710.0,0.00800000037997961,0.00800000037997961,158.67922973632812,0.25,1.0,0.25,67.0,39962.0,0.0,681081.0
1379712.0,0.00800000037997961,0.00800000037997961,158.67922973632812,0.25,1.0,0.25,67.0,39962.0,0.0,681082.0
1379714.0,0.00800000037997961,0.00800000037997961,158.67922973632812,0.25,1.0,0.25,67.0,39962.0,0.0,681083.0
1379716.0,0.00800000037997961,0.00800000037997961,158.67922973632812,0.25,1.0,0.25,67.0,39962.0,0.0,681084.0
1379718.0,0.00800000037997961,0.00800000037997961,159.1020050048828,0.25,1.0,0.25,67.0,39962.0,0.0,681085.0
1379720.0,0.00800000037997961,0.00800000037997961,159.1020050048828,0.25,1.0,0.25,67.0,39962.0,0.0,681086.0
1379722.0,0.00800000037997961,0.00800000037997961,159.1020050048828,0.25,1.0,0.25,67.0,39962.0,0.0,681087.0
1379724.0,0.00800000037997961,0.00800000037997961,159.1020050048828,0.25,1.0,0.25,67.0,39962.0,0.0,681088.0
1379726.0,0.00800000037997961,0.00800000037997961,159.1020050048828,0.25,1.0,0.25,67.0,39962.0,0.0,681089.0
1379728.0,0.00800000037997961,0.00800000037997961,158.4202880859375,0.25,1.0,0.25,67.0,39962.0,0.0,681090.0
1379730.0,0.00800000037997961,0.00800000037997961,158.4202880859375,0.25,1.0,0.25,67.0,39962.0,0.0,681091.0
1379732.0,0.00800000037997961,0.00800000037997961,158.4202880859375,0.25,1.0,0.25,67.0,39962.0,0.0,681092.0
1379734.0,0.00800000037997961,0.00800000037997961,158.4202880859375,0.25,1.0,0.25,67.0,39962.0,0.0,681093.0
1379736.0,0.00800000037997961,0.00800000037997961,158.4202880859375,0.25,1.0,0.25,67.0,39962.0,0.0,681094.0
1379738.0,0.00800000037997961,0.00800000037997961,157.5166015625,0.25,1.0,0.25,67.0,39962.0,0.0,681095.0
1379740.0,0.00800000037997961,0.00800000037997961,157.5166015625,0.25,1.0,0.25,67.0,39962.0,0.0,681096.0
1379742.0,0.00800000037997961,0.00800000037997961,157.5166015625,0.25,1.0,0.25,67.0,39962.0,0.0,681097.0
1379744.0,0.00800000037997961,0.00800000037997961,157.5166015625,0.25,1.0,0.25,67.0,39962.0,0.0,681098.0
1379746.0,0.00800000037997961,0.00800000037997961,157.5166015625,0.25,1.0,0.25,67.0,39962.0,0.0,681099.0
1379748.0,0.00800000037997961,0.00800000037997961,157.62757873535156,0.25,1.0,0.25,67.0,39962.0,0.0,681100.0
1379750.0,0.00800000037997961,0.00800000037997961,157.62757873535156,0.25,1.0,0.25,67.0,39962.0,0.0,681101.0
1379752.0,0.00800000037997961,0.00800000037997961,157.62757873535156,0.25,1.0,0.25,67.0,39962.0,0.0,681102.0
1379754.0,0.00800000037997961,0.00800000037997961,157.62757873535156,0.25,1.0,0.25,67.0,39962.0,0.0,681103.0
1379756.0,0.00800000037997961,0.00800000037997961,157.62757873535156,0.25,1.0,0.25,67.0,39962.0,0.0,681104.0
1379758.0,0.00800000037997961,0.00800000037997961,157.87332153320312,0.25,1.0,0.25,67.0,39962.0,0.0,681105.0
1379760.0,0.00800000037997961,0.00800000037997961,157.87332153320312,0.25,1.0,0.25,67.0,39962.0,0.0,681106.0
1379762.0,0.00800000037997961,0.00800000037997961,157.87332153320312,0.25,1.0,0.25,67.0,39962.0,0.0,681107.0
